// PatSize	  TextSize	  Naive-RT	    KMP-RT
       100	    740000	      8204	      8695
      1000	    740000	      8595	      8360
     10000	    740000	      9052	      7872
    100000	    740000	     17655	      7688
        10	    750000	      8447	      8270
       100	    750000	      8943	     11074
      1000	    750000	     11659	      8927
     10000	    750000	     12052	      8232
    100000	    750000	     23889	      7678
        10	    760000	      9750	      8745
       100	    760000	     10299	     11435
      1000	    760000	      9628	     10044
     10000	    760000	      9649	      9206
    100000	    760000	     20847	      9205
        10	    770000	      8646	      8216
       100	    770000	      8758	      8485
      1000	    770000	     10878	      8106
     10000	    770000	      9293	      8144
    100000	    770000	     19698	      9385
        10	    780000	      8906	      9603
       100	    780000	      8633	      9075
      1000	    780000	      8692	      8378
     10000	    780000	     11048	      8305
    100000	    780000	     21198	      8538
        10	    790000	      9862	      8521
       100	    790000	      9683	      9578
      1000	    790000	     10090	      9382
     10000	    790000	      9887	      9963
    100000	    790000	     21657	      9318
        10	    800000	      9978	      9385
       100	    800000	     10873	      8512
      1000	    800000	      9959	      9687
     10000	    800000	     10924	      8708
    100000	    800000	     21106	      9527
        10	    810000	     11686	      8777
       100	    810000	      9919	      8990
      1000	    810000	      8827	     14240
     10000	    810000	      9892	     13208
    100000	    810000	     18542	      7902
        10	    820000	      9712	      9994
       100	    820000	     11669	     10463
      1000	    820000	      9916	      8639
     10000	    820000	     11439	      8258
    100000	    820000	     21192	      7871
        10	    830000	     10349	     11520
       100	    830000	      8974	      8907
      1000	    830000	      9275	      9516
     10000	    830000	     11584	      8666
    100000	    830000	     31258	      8084
        10	    840000	      9547	      9483
       100	    840000	     10103	     11291
      1000	    840000	      9839	     12417
     10000	    840000	     11676	     12996
    100000	    840000	     19616	     14638
        10	    850000	     11117	     11418
       100	    850000	     10580	     12394
      1000	    850000	      9700	     11054
     10000	    850000	     16250	     10986
    100000	    850000	     34661	     10903
        10	    860000	     12192	      9680
       100	    860000	     10074	      9248
      1000	    860000	     10539	      9222
     10000	    860000	     11632	      8723
    100000	    860000	     26076	      9126
        10	    870000	      9966	      9154
       100	    870000	     10331	      9690
      1000	    870000	     10178	      9360
     10000	    870000	     11084	      9029
    100000	    870000	     20179	      9913
        10	    880000	      9721	      9918
       100	    880000	      9441	      9614
      1000	    880000	      9629	      9355
     10000	    880000	     11573	      9140
    100000	    880000	     20647	      9981
        10	    890000	      9466	      9394
       100	    890000	      9515	     12759
      1000	    890000	      9677	      9897
     10000	    890000	     14292	      9077
    100000	    890000	     20500	      9004
        10	    900000	     11570	      9837
       100	    900000	      9747	      9405
      1000	    900000	      9977	      9571
     10000	    900000	     11187	      9136
    100000	    900000	     25350	     10570
        10	    910000	      9636	      9600
       100	    910000	     10014	      9723
      1000	    910000	     10041	      9669
     10000	    910000	     10871	      9282
    100000	    910000	     21241	      9257
        10	    920000	      9807	     12415
       100	    920000	     10393	     11901
      1000	    920000	     10045	     12244
     10000	    920000	     12294	     11714
    100000	    920000	     29110	     13286
        10	    930000	     11214	     17745
       100	    930000	     10469	     16946
      1000	    930000	     10324	     15010
     10000	    930000	     11652	      9857
    100000	    930000	     31748	      9175
        10	    940000	     11599	     10382
       100	    940000	     10713	     12720
      1000	    940000	     10733	     10239
     10000	    940000	     14884	     10419
    100000	    940000	     30695	     10496
        10	    950000	     15416	     11445
       100	    950000	     12432	     11542
      1000	    950000	     13177	     11881
     10000	    950000	     11640	     10461
    100000	    950000	     21720	      8870
        10	    960000	     10275	     10629
       100	    960000	     12161	     13000
      1000	    960000	     12719	     14360
     10000	    960000	     13023	     11516
    100000	    960000	     22805	     10113
        10	    970000	     13649	     10361
       100	    970000	     11249	     10750
      1000	    970000	     10471	     10330
     10000	    970000	     12280	      9764
    100000	    970000	     24373	      9284
        10	    980000	     14741	     12511
       100	    980000	     14824	     11693
      1000	    980000	     14023	     10291
     10000	    980000	     18207	      9870
    100000	    980000	     23486	     10546
        10	    990000	     11001	     10635
       100	    990000	     10650	     10641
      1000	    990000	     10587	     10546
     10000	    990000	     13687	     10270
    100000	    990000	     22921	      9643
        10	   1000000	     11423	     10677
       100	   1000000	     11298	     10875
      1000	   1000000	     10917	     11211
     10000	   1000000	     12463	     10215
    100000	   1000000	     25058	      9107
        10	   1010000	     11210	     10962
       100	   1010000	     10691	     13857
      1000	   1010000	     11302	     11283
     10000	   1010000	     12157	     10319
    100000	   1010000	     23757	      9171
        10	   1020000	     11194	     15122
       100	   1020000	     11922	     12028
      1000	   1020000	     11637	     12198
     10000	   1020000	     13643	     10557
    100000	   1020000	     24021	     10600
        10	   1030000	     11439	     11431
       100	   1030000	     11043	     12268
      1000	   1030000	     11391	     11044
     10000	   1030000	     12925	     10708
    100000	   1030000	     27023	     10800
        10	   1040000	     12074	     12895
       100	   1040000	     11440	     12482
      1000	   1040000	     12185	     12657
     10000	   1040000	     14058	     11493
    100000	   1040000	     24880	      9412
        10	   1050000	     12194	     14979
       100	   1050000	     13918	     14554
      1000	   1050000	     13900	     14143
